01/03/2014,Ford,Blue,T197342,Illinois,145,N,JEFFERSON,ST,400,E,WACKER DRIVE LOWER LEVEL,,Broken Down,14-00010904
01/03/2014,Ford,Green,231R152,Illinois,2400,S,CALIFORNIA,AVE,2900,W,23RD STREET,,Accident,14-00009998
01/03/2014,Ford,Silver,H690613,Illinois,6332,S,MAPLEWOOD,AVE,6333,S,MAPLEWOOD,,Water Management,14-00008894
01/03/2014,Ford,Tan,L735724,Illinois,3307,N,MAJOR,AVE,5651,W,SCHOOL,,Other,14-00009887
01/03/2014,Ford,White,M170782,Illinois,1310,E,49TH,ST,3800,S,IRON,,Accident,14-00011122
01/03/2014,Ford,White,M7912,Illinois,3500,S,SB OUTER LAKE SHORE,DR,3600,S,LAKESHORE DR,,Police,14-00008571
01/03/2014,Ford,White,R135624,Illinois,700,W,RANDOLPH,ST,350,E,WACKER LOWER,,Accident,14-00008227
01/03/2014,Honda,Gray,D284HN,Indiana,1200,S,LAKE SHORE,DR,300,E,LOWER WACKER DRIVE,,Accident,14-00012552
01/03/2014,Honda,Green,K484411,Illinois,6109,W,EDDY,ST,6057,W,EDDY,,Water Management,14-00008957
01/03/2014,Honda,Green,R448706,Illinois,44,N,SAWYER,,4539,N,SAWYER,,Water Management,14-00011046
01/03/2014,Lincoln,Beige,R129469,Illinois,5900,S,EMERALD,AVE,5842,S,EMERALD,,Accident,14-00008278
01/03/2014,Lincoln,Black,7688LY,Illinois,2501,N,NB OUTER LAKE SHORE,DR,3712,N,RECREATION DR,,Broken Down,14-00008239
01/03/2014,Mazda,Black,S194177,Illinois,400,S,WACKER,DR,350,W,VAN BUREN,,Accident,14-00009032
01/03/2014,Mazda,Black,S363471,Illinois,716,S,LAKE SHORE,DR,659,S,COLUMBUS,,Broken Down,14-00012326
01/03/2014,Mitsubishi,Black,485P446,Illinois,4132,W,CHICAGO,AVE,4142,W,CHICAGO,,Accident,14-00010028
01/03/2014,Nissan,Gray,H161663,Illinois,4613,W,DEMING,PL,4638,W,ALTGELD,,Water Management,14-00008944
01/03/2014,Nissan,Silver,6626578,Illinois,619,S,RACINE,AVE,1041,N,HALSTED,,Broken Down,14-00012657
01/03/2014,Subaru,Black,6715172,Illinois,2500,N,SB OUTER LAKE SHORE,DR,2541,N,CANNON,,Broken Down,14-00009561
01/03/2014,Suzuki,Maroon,6492659,Illinois,5455,N,NB OUTER LAKE SHORE,DR,5700,N,BROADWAY,,Broken Down,14-00008254
01/03/2014,Toyota,Black,T671614,Illinois,4457,N,SAWYER,AVE,4528,N,SAWYER,,Water Management,14-00011047
01/03/2014,Toyota,White,M148721,Illinois,1308,W,WABANSIA,,1650,N,THROOP,,Broken Down,14-00009596
01/03/2014,Volkswagen,Black,CZ62A,Michigan,4533,N,MONTICELLO,AVE,4525,N,MONTICELLO,,Water Management,14-00008956
01/04/2014,Chevrolet,Gray,1563201,Illinois,2001,E,HAYES,DR,6702,S,JEFFREY,,Stalled,14-00012667
01/04/2014,Chevrolet,White,R594542,Illinois,470,W,ELM,ST,345,E,LOWER WACKER DRIVE,,Broken Down,14-00012734
01/04/2014,Chrysler,Black,S718234,Illinois,2300,N,NB OUTER LAKE SHORE,DR,1700,S,STATE,,Other,14-00013964
01/04/2014,Chrysler,Brown,R921235,Illinois,2800,S,SB OUTER LAKE SHORE,DR,3101,S,MICHIGAN,,Broken Down,14-00012760
01/04/2014,Ford,White,2RF695,Oklahoma,800,N,NB OUTER LAKE SHORE,DR,500,E,LOWER WACKER,,Other,14-00013635
01/04/2014,Honda,Tan,R444656,Illinois,4800,N,SB OUTER LAKE SHORE,DR,610,W,LAWRENCE,,Broken Down,14-00012723
01/04/2014,Infiniti/Q45,Gray,R446341,Illinois,5658,N,NB OUTER LAKE SHORE,DR,856,W,FOSTER,,Accident,14-00012838
01/04/2014,Jaguar,Green,193R601,Illinois,1300,S,LAKE SHORE,,1221,S,WABASH,,Stalled,14-00014512
01/04/2014,Kia Motors Corp,Black,N917986,Illinois,1600,S,CLARK,ST,1201,S,WABASH,,Stalled,14-00012721
01/04/2014,Kia Motors Corp,Silver,460-BVQ,Colorado,100,W,ROOSEVELT,RD,65,W,CLARK,,Accident,14-00014102
01/04/2014,Nissan,Black,K981057,Illinois,330,E,ROOSEVELT,DR,1201,S,WABASH,,Stalled,14-00012724
01/04/2014,Oldsmobile,Black,A910756,Illinois,1200,S,LAKE SHORE,,1221,S,WABASH,,Stalled,14-00014231
01/04/2014,Toyota,Black,S628774,Illinois,1105,N,NB OUTER LAKE SHORE,DR,1658,N,CLARK,,Broken Down,14-00012672
01/04/2014,Volkswagen,Black,7098293,Illinois,250,N,SB OUTER LAKE SHORE,DR,500,E,LOWER WACKER,,Stalled,14-00014400
01/05/2014,,,,,100,E,43RD,ST,,,,,,14-00016261
01/05/2014,,,,,10300,S,INDIANAPOLIS,AVE,,,,,,14-00016258
01/05/2014,,,,,7600,S,STONY ISLAND,AVE,,,,,,14-00016260
01/05/2014,,,,,8700,S,LAKE SHORE,DR,,,,,,14-00016259
01/05/2014,Acura,Silver,R470218,Illinois,3900,S,LAKE SHORE,,1320,E,47TH ST,,Other,14-00016226
01/05/2014,Buick,Maroon,N670973,Illinois,1200,E,47TH,ST,759,E,48TH STREET,,Broken Down,14-00015202
01/05/2014,Buick,Silver,246R109,Illinois,420,N,DIVISION,,340,W,DIVISION,,Broken Down,14-00015937
01/05/2014,Cadillac,White,R472706,Illinois,501,S,STATE,ST,498,S,FEDERAL,,Broken Down,14-00015513
01/05/2014,Chevrolet,Beige,N784085,Illinois,4300,W,CERMAK,RD,4401,W,CERMAK,,Broken Down,14-00015440
01/05/2014,Chevrolet,Maroon,L595229,Illinois,338,E,JACKSON,DR,350,E,WACKER,,Broken Down,14-00015818
01/05/2014,Chrysler,Purple,192R610,Illinois,7448,S,BLACKSTONE,AVE,7446,S,BLACKSTONE,,Other,14-00014998
01/05/2014,Chrysler,Silver,GOD D IT,Illinois,4800,S,SB OUTER LAKE SHORE,DR,1348,E,47TH STREET,,Accident,14-00015204
01/05/2014,Dodge,Gray,N653924,Illinois,1401,W,15TH,ST,1501,W,15TH,,Stalled,14-00015441
01/05/2014,Dodge,White,S131523,Illinois,4800,N,SHERIDAN,RD,1302,W,LELAND,,Broken Down,14-00015434
01/05/2014,Ford,Black,K986155,Illinois,1800,S,LAKE SHORE,DR,350,E,LOWER,,Accident,14-00015212
01/05/2014,Ford,Silver,N753665,Illinois,6700,S,SOUTH CHICAGO,AVE,6703,S,SOUTHCHICAGO,,Other,14-00015364
01/05/2014,Ford,Yellow,2778TX,Illinois,1300,S,LAKE SHORE,,1800,S,LAKE SHORE,,Stalled,14-00016373
01/05/2014,Honda,White,R543815,Illinois,1405,W,15TH,ST,1505,W,15,,Stalled,14-00015443
01/05/2014,Hyundai,Blue,9919991,Illinois,911,W,BELLE PLAINE,AVE,4101,N,4101,,Other,14-00014893
01/05/2014,Infiniti/Q45,Black,R824607,Illinois,6742,N,CALIFORNIA,AVE,2750,W,JARLATH,,Peoples Gas,14-00014632
01/05/2014,Jeep - Year Greater 1988,Burgundy,R982567,Illinois,200,N,LAKE SHORE,,350,E,LOWER WACKER MIDDLE ISLAND,,Other,14-00014628
01/05/2014,Mazda,Silver,K764863,Illinois,3449,W,NORTH,AVE,3455,W,NORTH AVE.,,Broken Down,14-00015838
01/05/2014,Mercedes,Silver,P172905,Illinois,326,N,LA SALLE,DR,350,E,WACKER,,Accident,14-00014640
01/05/2014,Nissan,Black,R445091,Illinois,5500,S,LAKE SHORE,,1310,E,47TH ST,,Stalled,14-00015886
01/05/2014,Nissan,Gold,R801721,Illinois,502,N,SB OUTER LAKE SHORE,DR,1201,S,WABASH,,Broken Down,14-00016054
01/05/2014,Nissan,Gray,L745909,Illinois,6742,N,CALIFORNIA,AVE,2824,W,BRY MAWR,,Peoples Gas,14-00014631
01/05/2014,Nissan,White,L315085,Illinois,1541,N,HAMLIN,AVE,1537,N,HAMLIN,,Broken Down,14-00015888
01/05/2014,Pontiac,Red,S29611,Illinois,1403,W,15TH,ST,1503,W,15,,Stalled,14-00015442
01/05/2014,Toyota,Gray,CZ 3507,Illinois,3900,S,NB OUTER LAKE SHORE,DR,3857,S,MICHIGAN,,Broken Down,14-00015203
01/05/2014,Toyota,Tan,G847137,Illinois,800,N,LAKE SHORE DR RAMP,,1801,S,WABASH,,Broken Down,14-00016461
01/05/2014,Toyota,White,4553164,Illinois,1600,E,103RD ST,ER,10300,S,TORRANCE,,Other,14-00015261
01/05/2014,Toyota,White,5614TX,Illinois,4800,S,SB OUTER LAKE SHORE,DR,1347,E,47TH,,Accident,14-00015098
01/05/2014,Volkswagen,Black,TF9486,Nebraska,1657,N,NB OUTER LAKE SHORE,DR,2438,N,CLARK,,Broken Down,14-00014689
01/05/2014,Volvo,Blue,D895762,Illinois,736,S,LAKE SHORE,DR,350,E,WACKER,,Broken Down,14-00015966
01/06/2014,,,,,1307,S,CLAREMONT,AVE,,,,,,14-00020622
01/06/2014,,,,,2000,N,SB OUTER LAKE SHORE,DR,300,E,LOWER WACKER DRIVE,,,14-00020235
01/06/2014,,,,,4119,N,KIMBALL,AVE,,,,,,14-00020764
01/06/2014,,Silver,R233087,Illinois,1200,N,NB OUTER LAKE SHORE,DR,1647,N,CLARK,,Stalled,14-00020937
01/06/2014,Acura,White,,,4742,N,SACRAMENTO,AVE,4755,N,SACRAMENTO,,Other,14-00018038
01/06/2014,Buick,Brown,L645587,Illinois,5200,S,NB OUTER LAKE SHORE,DR,4640,S,CORNELL,,Stalled,14-00019602
01/06/2014,Buick,Gray,H810275,Illinois,340,W,OAK,ST,336,W,OAK,,Stalled,14-00020940
01/06/2014,Buick,Red,924P774,Illinois,8423,S,SOUTH CHICAGO,AVE,8659,S,COLFAX,,Broken Down,14-00016624
01/06/2014,Buick,Tan,L941597,Illinois,8011,S,SB OUTER LAKE SHORE,,3305,E,83RD ST,,Accident,14-00019371
01/06/2014,Chevrolet,Gray,R224182,Illinois,1400,S,LAKE SHORE,DR,350,E,LOWER WACKER,,Other,14-00016635
01/06/2014,Chevrolet,Green,N117934,Illinois,2000,E,103RD,ST,10301,S,STONYISLAND,,Accident,14-00019240
01/06/2014,Chevrolet,Green,N543664,Illinois,1200,E,75TH,ST,1020,E,75TH ST.,,Broken Down,14-00019243
01/06/2014,Chevrolet,Red,R983272,Illinois,628,N,ORLEANS,ST,358,W,ONTARIO,,Stalled,14-00016855
01/06/2014,Chevrolet,Red,S713992,Illinois,1101,N,LARRABEE,ST,1055,N,LARRABEE,,Stalled,14-00017907
01/06/2014,Chrysler,Silver,S860643,Illinois,2900,S,LAKE SHORE,,437,E,39TH ST,,Stalled,14-00020921
01/06/2014,Dodge,Black,SB 4541,Indiana,2000,E,103RD,ST,10301,S,LUELLA,,Accident,14-00019241
01/06/2014,Dodge,White,501TX,Illinois,5700,N,SB OUTER LAKE SHORE,,5708,N,LAKE SHORE DRIVE,,Stalled,14-00020237
